SergioSouls23,3240955,2024-10-16 03:45:33
Iker,3240955,2024-10-16 03:45:33
polloq,1059493,2024-10-16 04:28:48
Erik,767205,2024-10-18 04:51:06
elPepe,0,2024-10-18 09:03:31
IkerErik,992012,2024-10-23 09:55:14
william,1325685,2024-10-23 10:01:38
SergioSouls23,3240955,2024-10-16 03:45:33
KalamarSabroson,1059493,2024-10-16 04:28:48
Wally,767205,2024-10-18 04:51:06
elPepe,0,2024-10-18 09:03:31
jhin,992012,2024-10-23 09:55:14
win,,2024-10-28 03:50:14
lose,,2024-10-28 03:50:29
elooooo,772962,2024-10-28 04:03:09
allllllll,774473,2024-10-28 04:04:02
test45,769949,2024-10-28 04:06:36
test46,1167711,2024-10-28 04:07:25
test48,1180449,2024-10-28 04:08:15
test49,749144,2024-10-28 04:09:08
lose,,2024-10-28 04:14:54
win,,2024-10-28 04:15:08
win,,2024-10-28 04:15:54
lose,,2024-10-28 04:54:04
lose,,2024-10-28 05:05:46
ANtionio,1176704,2024-10-28 05:06:27
win,0,2024-10-28 17:27:37
winPEne,0,2024-10-28 17:27:53
xavi,0,2024-10-28 17:29:28
jhin,0,2024-10-28 17:29:58
jhin,1178212,2024-10-28 17:30:47
lose,0,2024-10-28 17:42:39
jhin,2189406,2024-10-28 17:43:44
win,0,2024-10-28 17:52:48
win,0,2024-10-28 17:53:54
win,0,2024-10-28 17:54:26
win2,0,2024-10-28 17:54:51
win3,0,2024-10-28 17:55:52
win4,757999,2024-10-28 17:59:06
win,0,2024-10-28 18:05:38
tentacleH,1147980,2024-10-28 18:07:44
win6,0,2024-10-28 18:08:54
win44,0,2024-10-28 18:19:28
win6,0,2024-10-28 18:19:42
win66,0,2024-10-28 18:19:51
win,0,2024-10-28 18:20:20
